기업명,error
대광플라테크,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
개밥왕,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
씨지리테일김천지점,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
정석푸드,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
케이프인베스트먼트,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
의료법인송학의료재단,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
두손씨에스티(대전지사),"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
동선씨에스,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
쉰들러엘리베이터대전지점,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
지디앤피,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7ccf8fe75+79173]
	GetHandleVerifier [0x0x7ff7ccf8fed0+79264]
	(No symbol) [0x0x7ff7ccd49e5a]
	(No symbol) [0x0x7ff7ccda0586]
	(No symbol) [0x0x7ff7ccda083c]
	(No symbol) [0x0x7ff7ccdf4247]
	(No symbol) [0x0x7ff7ccdc89af]
	(No symbol) [0x0x7ff7ccdf100d]
	(No symbol) [0x0x7ff7ccdc8743]
	(No symbol) [0x0x7ff7ccd914c1]
	(No symbol) [0x0x7ff7ccd92253]
	GetHandleVerifier [0x0x7ff7cd25a2ad+3004797]
	GetHandleVerifier [0x0x7ff7cd2546fd+2981325]
	GetHandleVerifier [0x0x7ff7cd273350+3107360]
	GetHandleVerifier [0x0x7ff7ccfaa9fe+188622]
	GetHandleVerifier [0x0x7ff7ccfb228f+219487]
	GetHandleVerifier [0x0x7ff7ccf98dc4+115860]
	GetHandleVerifier [0x0x7ff7ccf98f79+116297]
	GetHandleVerifier [0x0x7ff7ccf7f528+11256]
	BaseThreadInitThunk [0x0x7ffb5d68e8d7+23]
	RtlUserThreadStart [0x0x7ffb5e3dc34c+44]
"
